,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
61,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,28.09,,,"Diphosphorus pentaoxide; phosphoric
acid; polyphosphoric acids, whether or
not chemically defined.",,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,2809.10,-,Diphosphorus pentaoxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
66,,2809.20,-,Phosphoric acid and polyphosphoric acids,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,28.10,,,Oxides of boron; boric acids.,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,28.11,,,"Other inorganic acids and other
inorganic oxygen compounds of non-
metals.",,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,-,Other inorganic acids :,,,,,,,,,,,,,,,,,,,,,
73,,2811.11,--,Hydrogen fluoride (hydrofluoric acid),kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
74,,2811.12,--,Hydrogen cyanide (hydrocyanic acid),kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
75,,2811.19,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
76,,,-,"Other inorganic oxygen compounds of non-
metals :",,,,,,,,,,,,,,,,,,,,,
77,,2811.21,--,Carbon dioxide,kg,,,,,,Free,Free,,5%,4.5%,10.0%,15%,18%,10%,6%,5%,Free,,2.5%,
78,,2811.22,--,Silicon dioxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
79,,2811.29,--,Other :,,,,,,,,,,,,,,,,,,,,,
80,,2811.29.10,---,Nitrous oxide,kg,,,,,,Free,Free,,5%,4.5%,10.0%,Free,18%,10%,6%,,,,2.5%,
81,,2811.29.20,---,Sulphur dioxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
82,,2811.29.90,---,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,"III.- HALOGEN OR SULPHUR
COMPOUNDS OF NON-METALS",,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
86,28.12,,,Halides and halide oxides of non-metals.,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,-,Chlorides and chloride oxides :,,,,,,,,,,,,,,,,,,,,,
89,,2812.11,--,Carbonyl dichloride (Phosgene),kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
90,,2812.12,--,Phosphorus oxychloride,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
91,,2812.13,--,Phosphorus trichloride,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
92,,2812.14,--,Phosphorus pentachloride,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
93,,2812.15,--,Sulphur monochloride,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
94,,2812.16,--,Sulphur dichloride,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
95,,2812.17,--,Thionyl chloride,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
96,,2812.19,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
97,,2812.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
100,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,
102,28.13,,,"Sulphides of non-metals; commercial
phosphorus trisulphide.",,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,
104,,2813.10,-,Carbon disulphide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
105,,2813.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
106,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,"IV.- INORGANIC BASES AND OXIDES,
HYDROXIDES AND PEROXIDES OF
METALS",,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,
109,28.14,,,"Ammonia, anhydrous or in aqueous
soluton.",,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,,2814.10,-,Anhydrous ammonia,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
112,,2814.20,-,Ammonia in aqueous solution,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
113,,,,,,,,,,,,,,,,,,,,,,,,,
114,28.15,,,"Sodium hydroxide (caustic soda);
potassium hydroxide (caustic potash);
peroxides of sodium or potassium.",,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,-,Sodium hydroxide (caustic soda) :,,,,,,,,,,,,,,,,,,,,,
117,,2815.11,--,Solid,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
118,,2815.12,--,In aqueous solution (soda lye or liquid soda),kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
119,,2815.20,-,Potassium hydroxide (caustic potash),kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
120,,2815.30,-,Peroxides of sodium or potassium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
121,,,,,,,,,,,,,,,,,,,,,,,,,
122,28.16,,,"Hydroxide and peroxide of magnesium;
oxides, hydroxides and peroxides, of
strontium or barium.",,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,
124,,2816.10,-,Hydroxide and peroxide of magnesium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
125,,2816.40,-,"Oxides, hydroxides and peroxides, of
strontium or barium",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
126,,,,,,,,,,,,,,,,,,,,,,,,,
127,28.17,,,Zinc oxide; zinc peroxide.,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
128,,,,,,,,,,,,,,,,,,,,,,,,,
129,28.18,,,"Artificial corundum, whether or not
chemically defined; aluminium oxide;
aluminium hydroxide.",,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,
131,,2818.10,-,"Artificial corundum, whether or not chemically
defined",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
